trial,alpha,epsilon_decay,epsilon_end,gamma,epsilon_start,survival_rate,mean_return
15,0.1,25000,0.01,1.0,1.0,0.772,0.6800700000000001
18,0.2,5000,0.01,1.0,1.0,0.772,0.718705
12,0.1,10000,0.01,1.0,1.0,0.77,0.70954
23,0.2,10000,0.1,1.0,1.0,0.768,0.6931700000000001
11,0.1,5000,0.1,1.0,1.0,0.768,0.7160299999999999
3,0.05,10000,0.01,1.0,1.0,0.766,0.7056600000000001
10,0.1,5000,0.05,1.0,1.0,0.766,0.725825
17,0.1,25000,0.1,1.0,1.0,0.758,0.67605
2,0.05,5000,0.1,1.0,1.0,0.756,0.7156
8,0.05,25000,0.1,1.0,1.0,0.756,0.6828
26,0.2,25000,0.1,1.0,1.0,0.754,0.665165
20,0.2,5000,0.1,1.0,1.0,0.754,0.6984150000000001
6,0.05,25000,0.01,1.0,1.0,0.752,0.676635
16,0.1,25000,0.05,1.0,1.0,0.752,0.67436
13,0.1,10000,0.05,1.0,1.0,0.748,0.6779850000000002
7,0.05,25000,0.05,1.0,1.0,0.748,0.6749149999999999
25,0.2,25000,0.05,1.0,1.0,0.746,0.6643
9,0.1,5000,0.01,1.0,1.0,0.744,0.707
1,0.05,5000,0.05,1.0,1.0,0.74,0.6983100000000001
22,0.2,10000,0.05,1.0,1.0,0.74,0.66703
0,0.05,5000,0.01,1.0,1.0,0.74,0.707025
5,0.05,10000,0.1,1.0,1.0,0.738,0.6782249999999999
19,0.2,5000,0.05,1.0,1.0,0.736,0.6865950000000001
4,0.05,10000,0.05,1.0,1.0,0.734,0.676295
14,0.1,10000,0.1,1.0,1.0,0.732,0.66655
24,0.2,25000,0.01,1.0,1.0,0.732,0.64844
21,0.2,10000,0.01,1.0,1.0,0.73,0.658175
