trial,learning_rate,exploration_fraction,net_arch,activation_fn,batch_size,target_update_interval,survival_rate,mean_return
8,5e-05,0.35,"[128, 128]",ReLU,64,500,0.76,0.70155
36,0.0003,0.25,"[64, 64]",ReLU,64,500,0.755,0.6750875
28,0.0001,0.35,"[256, 128]",ReLU,64,500,0.75,0.6821625
16,5e-05,0.45,"[256, 128]",ReLU,64,500,0.745,0.6708500000000001
33,0.0001,0.45,"[128, 128]",Tanh,64,500,0.745,0.6437375
26,0.0001,0.35,"[128, 128]",ReLU,64,500,0.745,0.6764249999999999
49,0.0003,0.45,"[64, 64]",Tanh,64,500,0.74,0.6708124999999999
13,5e-05,0.45,"[64, 64]",Tanh,64,500,0.735,0.6603874999999999
24,0.0001,0.35,"[64, 64]",ReLU,64,500,0.735,0.6734125
5,5e-05,0.25,"[256, 128]",Tanh,64,500,0.735,0.6657500000000001
38,0.0003,0.25,"[128, 128]",ReLU,64,500,0.735,0.6570125
51,0.0003,0.45,"[128, 128]",Tanh,64,500,0.73,0.643625
4,5e-05,0.25,"[256, 128]",ReLU,64,500,0.73,0.6683374999999999
23,0.0001,0.25,"[256, 128]",Tanh,64,500,0.73,0.6579875
43,0.0003,0.35,"[64, 64]",Tanh,64,500,0.73,0.6700499999999999
17,5e-05,0.45,"[256, 128]",Tanh,64,500,0.725,0.6581375
27,0.0001,0.35,"[128, 128]",Tanh,64,500,0.725,0.6430750000000001
25,0.0001,0.35,"[64, 64]",Tanh,64,500,0.725,0.6296
18,0.0001,0.25,"[64, 64]",ReLU,64,500,0.72,0.6577875
10,5e-05,0.35,"[256, 128]",ReLU,64,500,0.72,0.6450499999999999
31,0.0001,0.45,"[64, 64]",Tanh,64,500,0.72,0.648175
29,0.0001,0.35,"[256, 128]",Tanh,64,500,0.72,0.6475
47,0.0003,0.35,"[256, 128]",Tanh,64,500,0.72,0.6007875
6,5e-05,0.35,"[64, 64]",ReLU,64,500,0.72,0.6669874999999998
44,0.0003,0.35,"[128, 128]",ReLU,64,500,0.715,0.6468125
52,0.0003,0.45,"[256, 128]",ReLU,64,500,0.715,0.62175
53,0.0003,0.45,"[256, 128]",Tanh,64,500,0.715,0.6590125
14,5e-05,0.45,"[128, 128]",ReLU,64,500,0.715,0.64955
12,5e-05,0.45,"[64, 64]",ReLU,64,500,0.715,0.6682625
7,5e-05,0.35,"[64, 64]",Tanh,64,500,0.71,0.6489
9,5e-05,0.35,"[128, 128]",Tanh,64,500,0.71,0.6278125
39,0.0003,0.25,"[128, 128]",Tanh,64,500,0.71,0.6330125
0,5e-05,0.25,"[64, 64]",ReLU,64,500,0.705,0.646925
45,0.0003,0.35,"[128, 128]",Tanh,64,500,0.705,0.6165
34,0.0001,0.45,"[256, 128]",ReLU,64,500,0.705,0.63605
2,5e-05,0.25,"[128, 128]",ReLU,64,500,0.7,0.6233500000000001
42,0.0003,0.35,"[64, 64]",ReLU,64,500,0.7,0.6230499999999999
1,5e-05,0.25,"[64, 64]",Tanh,64,500,0.7,0.6398000000000001
37,0.0003,0.25,"[64, 64]",Tanh,64,500,0.695,0.6286125000000001
20,0.0001,0.25,"[128, 128]",ReLU,64,500,0.695,0.614225
48,0.0003,0.45,"[64, 64]",ReLU,64,500,0.695,0.630075
21,0.0001,0.25,"[128, 128]",Tanh,64,500,0.695,0.626125
40,0.0003,0.25,"[256, 128]",ReLU,64,500,0.695,0.6136125
19,0.0001,0.25,"[64, 64]",Tanh,64,500,0.69,0.6232875
32,0.0001,0.45,"[128, 128]",ReLU,64,500,0.69,0.6142624999999999
11,5e-05,0.35,"[256, 128]",Tanh,64,500,0.685,0.6265
50,0.0003,0.45,"[128, 128]",ReLU,64,500,0.685,0.5932999999999999
3,5e-05,0.25,"[128, 128]",Tanh,64,500,0.685,0.6147
15,5e-05,0.45,"[128, 128]",Tanh,64,500,0.68,0.614475
46,0.0003,0.35,"[256, 128]",ReLU,64,500,0.68,0.574075
30,0.0001,0.45,"[64, 64]",ReLU,64,500,0.68,0.6045625
22,0.0001,0.25,"[256, 128]",ReLU,64,500,0.675,0.598825
35,0.0001,0.45,"[256, 128]",Tanh,64,500,0.665,0.5926125
41,0.0003,0.25,"[256, 128]",Tanh,64,500,0.595,0.4993
