trial,learning_rate,n_steps,ent_coef,net_arch,activation_fn,batch_size,survival_rate,mean_return
61,0.0003,2048,0.005,"[64, 64]",Tanh,128,0.785,0.7268375
39,0.0003,512,0.005,"[128, 128]",Tanh,128,0.78,0.720325
43,0.0003,512,0.01,"[64, 64]",Tanh,128,0.77,0.73875
25,0.0001,2048,0.005,"[64, 64]",Tanh,128,0.765,0.7324875
63,0.0003,2048,0.005,"[128, 128]",Tanh,128,0.76,0.6847249999999999
44,0.0003,512,0.01,"[128, 128]",ReLU,128,0.755,0.6900499999999999
57,0.0003,1024,0.01,"[128, 128]",Tanh,128,0.755,0.6866500000000001
67,0.0003,2048,0.01,"[64, 64]",Tanh,128,0.745,0.691275
13,0.0001,1024,0.005,"[64, 64]",Tanh,128,0.745,0.7020500000000002
70,0.0003,2048,0.01,"[256, 128]",ReLU,128,0.74,0.6897625000000001
64,0.0003,2048,0.005,"[256, 128]",ReLU,128,0.74,0.6876249999999999
38,0.0003,512,0.005,"[128, 128]",ReLU,128,0.735,0.6698375
65,0.0003,2048,0.005,"[256, 128]",Tanh,128,0.735,0.6712250000000001
11,0.0001,512,0.01,"[256, 128]",Tanh,128,0.735,0.7025625
47,0.0003,512,0.01,"[256, 128]",Tanh,128,0.73,0.66905
19,0.0001,1024,0.01,"[64, 64]",Tanh,128,0.73,0.678175
59,0.0003,1024,0.01,"[256, 128]",Tanh,128,0.73,0.6590375
40,0.0003,512,0.005,"[256, 128]",ReLU,128,0.725,0.6667875000000001
18,0.0001,1024,0.01,"[64, 64]",ReLU,128,0.725,0.71315
2,0.0001,512,0.005,"[128, 128]",ReLU,128,0.725,0.6978
14,0.0001,1024,0.005,"[128, 128]",ReLU,128,0.72,0.6894
32,0.0001,2048,0.01,"[128, 128]",ReLU,128,0.72,0.6788000000000001
48,0.0003,1024,0.005,"[64, 64]",ReLU,128,0.72,0.6749875
56,0.0003,1024,0.01,"[128, 128]",ReLU,128,0.72,0.668575
68,0.0003,2048,0.01,"[128, 128]",ReLU,128,0.72,0.6660875
45,0.0003,512,0.01,"[128, 128]",Tanh,128,0.715,0.6577500000000001
41,0.0003,512,0.005,"[256, 128]",Tanh,128,0.715,0.6355375
31,0.0001,2048,0.01,"[64, 64]",Tanh,128,0.715,0.6817375000000001
0,0.0001,512,0.005,"[64, 64]",ReLU,128,0.715,0.6981375
36,0.0003,512,0.005,"[64, 64]",ReLU,128,0.715,0.6712874999999999
4,0.0001,512,0.005,"[256, 128]",ReLU,128,0.715,0.6895625
6,0.0001,512,0.01,"[64, 64]",ReLU,128,0.715,0.6972750000000001
8,0.0001,512,0.01,"[128, 128]",ReLU,128,0.715,0.7002875000000001
12,0.0001,1024,0.005,"[64, 64]",ReLU,128,0.715,0.7144375
29,0.0001,2048,0.005,"[256, 128]",Tanh,128,0.71,0.6607124999999999
52,0.0003,1024,0.005,"[256, 128]",ReLU,128,0.71,0.6537375
1,0.0001,512,0.005,"[64, 64]",Tanh,128,0.71,0.6530250000000001
21,0.0001,1024,0.01,"[128, 128]",Tanh,128,0.71,0.6678000000000001
49,0.0003,1024,0.005,"[64, 64]",Tanh,128,0.71,0.6484000000000001
