trial,learning_rate,exploration_fraction,net_arch,activation_fn,buffer_size,exploration_final_eps,batch_size,target_update_interval,survival_rate,mean_return
164,0.0001,0.25,"[64, 64]",ReLU,25000,0.1,64,500,0.78,0.6981499999999999
35,5e-05,0.25,"[128, 128]",Tanh,100000,0.1,64,500,0.77,0.70215
187,0.0001,0.25,"[128, 128]",ReLU,100000,0.05,64,500,0.77,0.694775
178,0.0001,0.25,"[64, 64]",Tanh,100000,0.05,64,500,0.77,0.70045
75,5e-05,0.35,"[128, 128]",ReLU,50000,0.01,64,500,0.77,0.7026625
294,0.0001,0.45,"[128, 128]",ReLU,100000,0.01,64,500,0.77,0.6994874999999999
141,5e-05,0.45,"[128, 128]",Tanh,100000,0.01,64,500,0.77,0.705975
117,5e-05,0.45,"[64, 64]",Tanh,25000,0.01,64,500,0.77,0.7100874999999999
108,5e-05,0.45,"[64, 64]",ReLU,25000,0.01,64,500,0.765,0.706275
151,5e-05,0.45,"[256, 128]",ReLU,100000,0.05,64,500,0.765,0.693725
114,5e-05,0.45,"[64, 64]",ReLU,100000,0.01,64,500,0.765,0.7159
309,0.0001,0.45,"[256, 128]",ReLU,50000,0.01,64,500,0.76,0.6916625000000001
279,0.0001,0.45,"[64, 64]",Tanh,25000,0.01,64,500,0.76,0.6992375000000002
76,5e-05,0.35,"[128, 128]",ReLU,50000,0.05,64,500,0.76,0.70155
122,5e-05,0.45,"[64, 64]",Tanh,50000,0.1,64,500,0.76,0.7038499999999999
386,0.0003,0.35,"[64, 64]",ReLU,100000,0.1,64,500,0.76,0.686825
327,0.0003,0.25,"[64, 64]",ReLU,50000,0.01,64,500,0.755,0.6859999999999999
272,0.0001,0.45,"[64, 64]",ReLU,25000,0.1,64,500,0.755,0.6899625
267,0.0001,0.35,"[256, 128]",Tanh,100000,0.01,64,500,0.755,0.675725
328,0.0003,0.25,"[64, 64]",ReLU,50000,0.05,64,500,0.755,0.6750875
33,5e-05,0.25,"[128, 128]",Tanh,100000,0.01,64,500,0.755,0.698075
368,0.0003,0.25,"[256, 128]",ReLU,100000,0.1,64,500,0.755,0.662475
244,0.0001,0.35,"[128, 128]",Tanh,25000,0.05,64,500,0.755,0.670625
465,0.0003,0.45,"[128, 128]",Tanh,100000,0.01,64,500,0.755,0.6669624999999999
285,0.0001,0.45,"[64, 64]",Tanh,100000,0.01,64,500,0.75,0.6799875
39,5e-05,0.25,"[256, 128]",ReLU,50000,0.01,64,500,0.75,0.6693250000000001
2,5e-05,0.25,"[64, 64]",ReLU,25000,0.1,64,500,0.75,0.6888249999999999
145,5e-05,0.45,"[256, 128]",ReLU,25000,0.05,64,500,0.75,0.6742625000000001
388,0.0003,0.35,"[64, 64]",Tanh,25000,0.05,64,500,0.75,0.677175
284,0.0001,0.45,"[64, 64]",Tanh,50000,0.1,64,500,0.75,0.689075
256,0.0001,0.35,"[256, 128]",ReLU,50000,0.05,64,500,0.75,0.6821625
