trial,learning_rate,n_steps,ent_coef,net_arch,activation_fn,n_epochs,clip_range,batch_size,survival_rate,mean_return
134,0.0001,1024,0.005,"[128, 128]",ReLU,20,0.3,128,0.795,0.7550625
553,0.0003,2048,0.005,"[64, 64]",Tanh,10,0.2,128,0.785,0.7268375
355,0.0003,512,0.005,"[128, 128]",Tanh,10,0.2,128,0.78,0.720325
124,0.0001,1024,0.005,"[64, 64]",Tanh,20,0.2,128,0.775,0.7273125
583,0.0003,2048,0.005,"[256, 128]",ReLU,20,0.2,128,0.775,0.6914875
321,0.0001,2048,0.01,"[256, 128]",Tanh,20,0.1,128,0.77,0.7124875
351,0.0003,512,0.005,"[128, 128]",Tanh,5,0.1,128,0.77,0.72085
501,0.0003,1024,0.01,"[64, 64]",Tanh,20,0.1,128,0.77,0.7034
391,0.0003,512,0.01,"[64, 64]",Tanh,10,0.2,128,0.77,0.73875
401,0.0003,512,0.01,"[128, 128]",ReLU,10,0.3,128,0.77,0.7162125
229,0.0001,2048,0.005,"[64, 64]",Tanh,10,0.2,128,0.765,0.7324875
479,0.0003,1024,0.005,"[256, 128]",Tanh,5,0.3,128,0.765,0.72015
399,0.0003,512,0.01,"[128, 128]",ReLU,10,0.1,128,0.765,0.7145750000000001
285,0.0001,2048,0.01,"[64, 64]",Tanh,20,0.1,128,0.765,0.7168125000000001
327,0.0003,512,0.005,"[64, 64]",ReLU,10,0.1,128,0.765,0.742575
93,0.0001,512,0.01,"[256, 128]",ReLU,10,0.1,128,0.765,0.7319625000000001
365,0.0003,512,0.005,"[256, 128]",ReLU,10,0.3,128,0.765,0.71075
420,0.0003,512,0.01,"[256, 128]",ReLU,20,0.1,128,0.76,0.7090000000000001
47,0.0001,512,0.005,"[256, 128]",Tanh,5,0.3,128,0.76,0.6990999999999999
571,0.0003,2048,0.005,"[128, 128]",Tanh,10,0.2,128,0.76,0.6847249999999999
567,0.0003,2048,0.005,"[128, 128]",Tanh,5,0.1,128,0.76,0.7043375000000001
566,0.0003,2048,0.005,"[128, 128]",ReLU,20,0.3,128,0.76,0.6864250000000002
565,0.0003,2048,0.005,"[128, 128]",ReLU,20,0.2,128,0.76,0.6857500000000002
464,0.0003,1024,0.005,"[128, 128]",Tanh,10,0.3,128,0.76,0.6905375
474,0.0003,1024,0.005,"[256, 128]",ReLU,20,0.1,128,0.76,0.7039624999999999
502,0.0003,1024,0.01,"[64, 64]",Tanh,20,0.2,128,0.755,0.692525
45,0.0001,512,0.005,"[256, 128]",Tanh,5,0.1,128,0.755,0.7248875000000001
295,0.0001,2048,0.01,"[128, 128]",ReLU,20,0.2,128,0.755,0.7064000000000001
329,0.0003,512,0.005,"[64, 64]",ReLU,10,0.3,128,0.755,0.7074375
430,0.0003,512,0.01,"[256, 128]",Tanh,20,0.2,128,0.755,0.6761500000000001
400,0.0003,512,0.01,"[128, 128]",ReLU,10,0.2,128,0.755,0.6900499999999999
34,0.0001,512,0.005,"[128, 128]",Tanh,20,0.2,128,0.755,0.6835
517,0.0003,1024,0.01,"[128, 128]",Tanh,10,0.2,128,0.755,0.6866500000000001
53,0.0001,512,0.005,"[256, 128]",Tanh,20,0.3,128,0.755,0.6975125
33,0.0001,512,0.005,"[128, 128]",Tanh,20,0.1,128,0.755,0.6897125
198,0.0001,1024,0.01,"[256, 128]",ReLU,5,0.1,128,0.755,0.7421625000000001
177,0.0001,1024,0.01,"[64, 64]",Tanh,20,0.1,128,0.755,0.7048875000000001
190,0.0001,1024,0.01,"[128, 128]",Tanh,5,0.2,128,0.755,0.6908500000000001
392,0.0003,512,0.01,"[64, 64]",Tanh,10,0.3,128,0.75,0.7144875
529,0.0003,1024,0.01,"[256, 128]",ReLU,20,0.2,128,0.75,0.6827125
561,0.0003,2048,0.005,"[128, 128]",ReLU,10,0.1,128,0.75,0.6902875
279,0.0001,2048,0.01,"[64, 64]",Tanh,5,0.1,128,0.75,0.6704249999999999
601,0.0003,2048,0.01,"[64, 64]",ReLU,20,0.2,128,0.75,0.6782249999999999
416,0.0003,512,0.01,"[256, 128]",ReLU,5,0.3,128,0.75,0.7398750000000001
79,0.0001,512,0.01,"[128, 128]",ReLU,20,0.2,128,0.75,0.6922625000000001
170,0.0001,1024,0.01,"[64, 64]",ReLU,20,0.3,128,0.75,0.7225874999999999
484,0.0003,1024,0.005,"[256, 128]",Tanh,20,0.2,128,0.75,0.6716374999999999
394,0.0003,512,0.01,"[64, 64]",Tanh,20,0.2,128,0.75,0.6994625000000001
356,0.0003,512,0.005,"[128, 128]",Tanh,10,0.3,128,0.75,0.7001375
95,0.0001,512,0.01,"[256, 128]",ReLU,10,0.3,128,0.75,0.7341125000000001
