trial,net_arch,learning_rate,exploration_fraction,exploration_final_eps,buffer_size,target_update_interval,activation_fn,survival_rate
0,"[64, 64]",0.0001,0.25,0.1,25000,500,ReLU,0.75
7,"[128, 64]",0.00013668742353677282,0.3698385129840963,0.1,50000,500,Tanh,0.71
17,"[128, 64]",5.119118199456923e-05,0.2679332267108251,0.1,50000,750,Tanh,0.71
16,"[128, 64]",5.083862770469095e-05,0.25334555862189706,0.1,50000,750,Tanh,0.71
2,"[128, 64]",0.00010841479693345978,0.20193019906931467,0.05,50000,250,ReLU,0.7
15,"[64, 64]",0.00019926977126368326,0.3311264801678655,0.1,25000,500,Tanh,0.7
18,"[128, 64]",7.400723927338219e-05,0.25630312331792426,0.1,50000,750,Tanh,0.69
4,"[64, 64]",0.00013316598070397056,0.16469905943393445,0.05,25000,250,Tanh,0.69
5,"[128, 64]",9.474974538316392e-05,0.19832707839058328,0.15,50000,250,ReLU,0.69
6,"[128, 128]",9.504090415087465e-05,0.1405541708337954,0.05,50000,500,ReLU,0.69
1,"[128, 128]",0.0001461560685318903,0.1546065241548528,0.15,50000,500,ReLU,0.68
12,"[64, 64]",0.00018236978531833794,0.3315968250278243,0.1,25000,500,Tanh,0.67
19,"[128, 64]",6.680156587074951e-05,0.25586349969148114,0.1,50000,750,ReLU,0.67
11,"[64, 64]",0.00012018168307133304,0.4449776589387102,0.15,50000,750,ReLU,0.67
9,"[128, 128]",6.089856330017124e-05,0.17977730688967958,0.15,50000,250,Tanh,0.67
10,"[128, 64]",9.592434317018689e-05,0.4401237289523362,0.05,25000,500,Tanh,0.66
13,"[64, 64]",0.0001878059762778321,0.3252994578183382,0.1,25000,500,Tanh,0.65
14,"[64, 64]",0.00019328546983613353,0.34146164817239216,0.1,25000,500,Tanh,0.65
8,"[128, 64]",7.533721870390653e-05,0.12694296844007755,0.15,25000,250,ReLU,0.65
3,"[64, 64]",0.00027374517407221025,0.43797121157609575,0.05,25000,500,ReLU,0.59
