trial,net_arch,learning_rate,n_steps,ent_coef,n_epochs,clip_range,activation_fn,survival_rate
0,"[128, 128]",0.0001,1024,0.005,20,0.3,ReLU,0.81
1,"[128, 128]",0.00019843966652221854,512,0.01745734676972377,20,0.3,ReLU,0.72
16,"[128, 128]",0.00012162649157168055,512,0.01269019179613123,20,0.3,ReLU,0.71
13,"[128, 128]",5.7092140256103953e-05,1024,0.019850271450060467,20,0.3,ReLU,0.71
10,"[128, 128]",0.00016207547643136373,512,0.007414688256668931,10,0.3,Tanh,0.71
2,"[128, 64]",0.0001673888154257967,2048,0.003650383352388795,20,0.3,Tanh,0.7
5,"[128, 128]",0.00010575486010842793,2048,0.007778313207178196,20,0.3,Tanh,0.69
19,"[128, 128]",0.0004804588098008114,512,0.0011205462067902243,20,0.3,ReLU,0.69
4,"[128, 128]",0.00022987528923660826,2048,0.004512234654985014,10,0.2,Tanh,0.68
15,"[128, 128]",0.00011020863091691318,1024,0.01968927000521686,20,0.3,ReLU,0.68
18,"[128, 128]",0.00046475079301178676,512,0.013296318368299146,20,0.3,ReLU,0.67
7,"[128, 64]",0.00021703385059447018,512,0.014551650957236905,10,0.2,ReLU,0.66
11,"[64, 64]",9.996507914169093e-05,2048,0.010550901441348367,20,0.2,Tanh,0.66
3,"[128, 64]",7.404472559987598e-05,2048,0.01635954961421276,10,0.2,Tanh,0.65
6,"[64, 64]",0.00032691242922590195,2048,0.002406848382947717,10,0.2,ReLU,0.64
9,"[64, 64]",0.0003719037817197652,2048,0.011247502596397363,20,0.2,Tanh,0.64
12,"[128, 128]",5.555399132332509e-05,1024,0.01871351649632396,20,0.3,ReLU,0.64
14,"[128, 128]",6.380307124645065e-05,1024,0.01996311107798822,20,0.3,ReLU,0.63
17,"[128, 128]",0.0001307831704963178,512,0.016020617862499455,20,0.3,ReLU,0.62
8,"[128, 128]",0.00021646137637899572,2048,0.005736552353828624,20,0.2,ReLU,0.6
